"Kinase"	"Kinome_H2228_1"	"Kinome_H2228_2"	"Kinome_HCC827ER3_1"	"Kinome_HCC827ER3_2"	"Kinome_K562_1"	"Kinome_K562_2"	"Kinome_SKMel28_1"	"Kinome_SKMel28_2"
"ABL1"	4	4	3	1	160	160	0	0
"ABL2"	3	3	2	1	51	53	0	1
"ALK"	61	48	0	0	0	0	0	0
"ALPK3"	0	0	2	2	0	0	0	0
"ARAF"	0	0	1	1	0	0	0	0
"AURKA"	0	0	0	0	1	1	0	0
"AURKB"	0	0	0	0	1	1	0	0
"AURKC"	0	0	0	0	1	1	0	0
"AXL"	6	4	16	15	3	2	5	5
"BCR"	0	1	5	4	178	161	0	2
"BMP2K"	0	0	2	2	1	1	0	0
"BMPR2"	0	0	2	3	0	0	0	0
"BMX"	0	0	0	0	1	0	0	0
"BTK"	0	0	0	0	17	19	0	0
"BUB1"	0	0	0	1	1	2	0	0
"CDC42BPA"	0	0	5	4	0	0	0	0
"CDC42BPB"	1	1	8	8	0	0	0	0
"CDK1"	48	48	30	34	135	128	47	59
"CDK16"	2	2	1	0	4	5	4	4
"CDK17"	2	2	0	0	4	5	4	4
"CDK2"	47	47	23	29	133	127	47	59
"CDK3"	47	47	23	29	133	127	47	59
"CDK4"	0	0	3	2	0	0	0	0
"CDK5"	2	2	2	2	2	2	4	4
"CIT"	0	0	0	1	0	0	0	0
"CSK"	1	0	1	1	1	1	1	1
"CSNK1A1"	0	0	1	2	0	0	0	0
"CSNK1A1L"	0	0	1	2	0	0	0	0
"CSNK2A2"	0	0	0	0	4	5	0	0
"DDR1"	0	0	0	0	7	5	0	0
"DDR2"	0	0	0	0	0	0	0	1
"DYRK1A"	12	10	5	5	18	15	11	12
"DYRK1B"	12	10	5	5	18	15	11	12
"DYRK2"	2	2	2	2	2	2	3	3
"DYRK3"	1	3	1	1	1	2	1	1
"DYRK4"	2	2	2	2	2	2	3	3
"EEF2K"	0	0	0	1	0	0	0	0
"EGFR"	5	6	134	151	0	0	0	0
"EPHA2"	14	8	44	56	0	0	2	2
"EPHA3"	1	0	2	2	0	0	1	2
"EPHA4"	1	0	2	2	0	0	1	1
"EPHA5"	1	0	2	2	0	0	1	1
"EPHB1"	0	0	0	4	0	0	0	0
"EPHB2"	0	0	5	11	0	0	0	0
"EPHB3"	1	3	3	2	0	0	0	0
"EPHB4"	1	5	13	12	1	2	0	0
"ERBB2"	0	1	7	7	0	0	0	0
"ERBB3"	0	0	4	4	0	0	0	0
"ERBB4"	0	1	7	7	0	0	0	0
"FAM20B"	0	1	1	2	3	1	0	0
"FER"	1	0	1	1	0	1	1	0
"FGFR1"	1	0	0	0	0	0	0	0
"FGFR4"	0	0	1	0	0	0	0	0
"FGR"	1	1	1	1	1	2	1	1
"FRK"	0	1	23	24	0	0	0	0
"FYN"	8	9	9	6	11	13	8	7
"GAK"	0	0	4	4	0	0	0	0
"GSK3A"	17	16	19	16	14	16	4	17
"GSK3B"	17	16	19	16	14	15	4	17
"HCK"	4	6	1	1	5	5	1	0
"HIPK1"	5	6	5	5	6	6	4	6
"HIPK2"	5	6	5	5	6	6	4	6
"HIPK3"	2	2	0	0	3	3	2	2
"ICK"	1	1	2	3	0	0	1	1
